unix,date,symbol,open,high,low,close,Volume BTG,Volume BTC,tradecount
1608768000000,2020-12-24 00:00:00,BTG/BTC,0.00033800,0.00036000,0.00032900,0.00035700,43503.49000000,15.07378390,2369
1608681600000,2020-12-23 00:00:00,BTG/BTC,0.00038200,0.00038200,0.00031600,0.00033800,75692.01000000,26.17379626,3355
1608595200000,2020-12-22 00:00:00,BTG/BTC,0.00040200,0.00040300,0.00037600,0.00038200,25288.83000000,9.85798183,1812
1608508800000,2020-12-21 00:00:00,BTG/BTC,0.00041400,0.00042500,0.00039500,0.00040200,25506.29000000,10.41773017,1988
1608422400000,2020-12-20 00:00:00,BTG/BTC,0.00040700,0.00043000,0.00040200,0.00041700,43708.09000000,18.30346446,2889
1608336000000,2020-12-19 00:00:00,BTG/BTC,0.00042100,0.00043000,0.00040300,0.00040800,37517.37000000,15.63313549,2207
1608249600000,2020-12-18 00:00:00,BTG/BTC,0.00041600,0.00045000,0.00040000,0.00041800,63618.60000000,26.72726780,3334
1608163200000,2020-12-17 00:00:00,BTG/BTC,0.00043800,0.00044500,0.00040000,0.00042000,90264.03000000,38.44212484,7018
1608076800000,2020-12-16 00:00:00,BTG/BTC,0.00045300,0.00045500,0.00043100,0.00043800,35803.61000000,15.88299107,4564
1607990400000,2020-12-15 00:00:00,BTG/BTC,0.00045300,0.00046300,0.00045000,0.00045300,8356.84000000,3.80899136,1034
1607904000000,2020-12-14 00:00:00,BTG/BTC,0.00046300,0.00047400,0.00043100,0.00045300,51091.41000000,23.29923929,2077
1607817600000,2020-12-13 00:00:00,BTG/BTC,0.00045200,0.00049000,0.00045100,0.00046300,85326.96000000,40.09948961,4258
1607731200000,2020-12-12 00:00:00,BTG/BTC,0.00045100,0.00047800,0.00044700,0.00045200,16201.84000000,7.43229726,1374
1607644800000,2020-12-11 00:00:00,BTG/BTC,0.00045900,0.00046300,0.00044900,0.00045100,14028.77000000,6.36994512,967
1607558400000,2020-12-10 00:00:00,BTG/BTC,0.00046500,0.00046700,0.00045000,0.00045600,17886.19000000,8.18401615,1110
1607472000000,2020-12-09 00:00:00,BTG/BTC,0.00046800,0.00049100,0.00045500,0.00046500,28622.16000000,13.26791419,1855
1607385600000,2020-12-08 00:00:00,BTG/BTC,0.00047400,0.00049500,0.00044000,0.00046900,39302.25000000,18.66808743,2000
1607299200000,2020-12-07 00:00:00,BTG/BTC,0.00048000,0.00049000,0.00047400,0.00047400,17284.23000000,8.27900921,1436
1607212800000,2020-12-06 00:00:00,BTG/BTC,0.00049000,0.00049500,0.00047500,0.00048400,26040.88000000,12.56007639,1258
1607126400000,2020-12-05 00:00:00,BTG/BTC,0.00049000,0.00049900,0.00048200,0.00049000,38687.99000000,18.97881662,2106
1607040000000,2020-12-04 00:00:00,BTG/BTC,0.00048200,0.00058000,0.00047200,0.00049200,80345.53000000,40.30030871,5074
